WORD,FREQUENCY,TF,ONE_HOT_WORD_IN_DOC,DOC_APPEARANCES,IDF
THE,[20.  3.  7. ...  8.  5.  7.],[0.12195122 0.02255639 0.0546875  ... 0.04020101 0.03623188 0.06306306],[1 1 1 ... 1 1 1],1188,0.00975983728915624
SIGNIFICANCE,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],26,1.6696029299635131
OF,[14.  5.  7. ...  8.  4.  5.],[0.08536585 0.03759398 0.0546875  ... 0.04020101 0.02898551 0.04504505],[1 1 1 ... 1 1 1],1196,0.0068450982819389244
PSEUDOMONAS,[3. 0. 0. ... 0. 0. 0.],[0.01829268 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],72,1.2272437815030626
AERUGINOSA,[3. 0. 0. ... 0. 0. 0.],[0.01829268 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],73,1.221253417813875
INFECTION,[3. 0. 0. ... 0. 0. 0.],[0.01829268 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],86,1.1500778266907632
IN,[ 6.  4.  3. ... 14.  7.  5.],[0.03658537 0.03007519 0.0234375  ... 0.07035176 0.05072464 0.04504505],[1 1 1 ... 1 1 1],1145,0.02577079125842416
RESPIRATORY,[3. 0. 0. ... 0. 0. 0.],[0.01829268 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],105,1.0633869788643928
TRACT,[3. 0. 0. ... 0. 0. 0.],[0.01829268 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],51,1.3770061018363946
CYSTIC,[1. 2. 1. ... 1. 1. 3.],[0.00609756 0.01503759 0.0078125  ... 0.00502513 0.00724638 0.02702703],[1 1 1 ... 1 1 1],1060,0.059270412669560714
FIBROSIS,[1. 2. 1. ... 1. 1. 3.],[0.00609756 0.01503759 0.0078125  ... 0.00502513 0.00724638 0.02702703],[1 1 1 ... 1 1 1],1061,0.05886089403299028
PATIENTS,[4. 0. 2. ... 0. 0. 2.],[0.02439024 0.         0.015625   ... 0.         0.         0.01801802],[1 0 1 ... 0 0 1],713,0.2314867480824654
HAVE,[2. 0. 0. ... 0. 1. 0.],[0.01219512 0.         0.         ... 0.         0.00724638 0.        ],[1 0 0 ... 0 1 0],429,0.45211898574960674
BEEN,[2. 0. 0. ... 0. 0. 0.],[0.01219512 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],317,0.5835170157165794
STUDIED,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],140,0.938448242256093
BY,[2. 3. 1. ... 0. 0. 0.],[0.01219512 0.02255639 0.0078125  ... 0.         0.         0.        ],[1 1 1 ... 0 0 0],575,0.3249084332447005
MEANS,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],47,1.4124784199986136
IMMUNOELECTROPHORETICAL,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],1,3.084576277934331
ANALYSIS,[1. 0. 1. ... 0. 0. 0.],[0.00609756 0.         0.0078125  ... 0.         0.         0.        ],[1 0 1 ... 0 0 0],68,1.2520673652280947
SERA,[2. 0. 0. ... 0. 0. 0.],[0.01219512 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],73,1.221253417813875
FOR,[1. 0. 7. ... 0. 3. 0.],[0.00609756 0.         0.0546875  ... 0.         0.02173913 0.        ],[1 0 1 ... 0 1 0],681,0.25142916602154586
NUMBER,[3. 0. 0. ... 0. 0. 0.],[0.01829268 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],89,1.1351862712894183
PRECIPITINS,[6. 0. 0. ... 0. 0. 0.],[0.03658537 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],22,1.7421535971121247
AGAINST,[2. 0. 0. ... 0. 0. 0.],[0.01219512 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],66,1.2650323423924623
AND,[4. 4. 6. ... 7. 4. 3.],[0.02439024 0.03007519 0.046875   ... 0.03517588 0.02898551 0.02702703],[1 1 1 ... 1 1 1],1150,0.023878437580719263
CONCENTRATIONS,[3. 2. 0. ... 0. 1. 0.],[0.01829268 0.01503759 0.         ... 0.         0.00724638 0.        ],[1 1 0 ... 0 1 0],111,1.0392532991476735
SERUM,[3. 0. 0. ... 0. 1. 4.],[0.01829268 0.         0.         ... 0.         0.00724638 0.03603604],[1 0 0 ... 0 1 1],220,0.7421535971121247
PROTEINS,[4. 0. 0. ... 0. 0. 0.],[0.02439024 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],34,1.553097360892076
ADDITION,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],57,1.3287014222618396
CLINICAL,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],209,0.764429991823277
RADIOGRAPHICAL,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],1,3.084576277934331
STATUS,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],33,1.5660623380564436
LUNGS,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],36,1.5282737771670438
EVALUATED,[1. 0. 0. ... 1. 0. 0.],[0.00609756 0.         0.         ... 0.00502513 0.         0.        ],[1 0 0 ... 1 0 0],42,1.4613269875364305
USING,[1. 0. 1. ... 0. 0. 0.],[0.00609756 0.         0.0078125  ... 0.         0.         0.        ],[1 0 1 ... 0 0 0],109,1.0471497799937073
SCORING,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],5,2.385606273598312
SYSTEMS,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],23,1.722848441916738
WERE,[5. 1. 1. ... 6. 0. 0.],[0.0304878  0.0075188  0.0078125  ... 0.03015075 0.         0.        ],[1 1 1 ... 1 0 0],572,0.3271802491413068
DEMONSTRATED,[1. 0. 0. ... 0. 0. 1.],[0.00609756 0.         0.         ... 0.         0.         0.00900901],[1 0 0 ... 0 0 1],71,1.2333179292152556
