QueryNumber;DocNumber;DocVotes
1;139;1222
1;151;2211
1;166;1
1;311;1
1;370;1010
1;392;1
1;439;1
1;440;11
1;441;2122
1;454;100
1;461;1121
1;502;2
1;503;1000
1;505;1
1;520;1010
1;522;1
1;526;1011
1;527;1001
1;533;2222
1;593;1000
1;619;1
1;737;100
1;742;100
1;789;1
1;827;10
1;835;1
1;861;1
1;875;1121
1;891;1
1;921;1010
1;922;1010
1;1175;100
1;1185;1
1;1222;1
2;169;1000
2;434;1001
2;454;100
2;498;1000
2;499;1000
2;592;2
2;875;1011
3;23;1000
3;40;10
3;139;2122
3;190;1
3;221;1
3;246;1
3;309;1000
3;311;11
3;325;1
3;345;10
3;347;10
3;356;10
3;370;1001
3;374;1
3;375;2221
3;439;1
3;440;1120
3;454;1220
3;515;1000
3;520;10
3;524;10
3;526;1010
3;527;1220
3;533;1
3;535;10
3;560;10
3;561;1
3;571;10
3;584;10
3;604;2
3;623;10
3;633;2222
3;733;1000
3;742;1010
3;854;100
3;856;2112
3;950;10
3;967;1
3;1144;1111
3;1161;1
3;1172;1000
3;1175;1
3;1196;2
4;503;1
4;538;100
4;539;100
4;540;100
4;553;1
4;604;2222
4;669;1010
4;711;2122
4;876;2222
5;23;2220
5;47;2221
5;50;1
5;60;1
5;114;11
5;132;1
5;135;1
5;139;10
5;151;2222
5;169;1
5;189;1
5;190;1
5;197;1
5;200;1
5;226;1
5;256;2211
5;265;10
5;297;1
5;298;1
5;299;1
5;311;1
5;312;1
5;325;1011
5;333;1
5;343;2
5;347;12
5;349;1
5;369;1
5;370;1211
5;371;1
5;374;2222
5;386;1001
5;392;1
5;410;1
5;420;1
5;427;1
5;428;1
5;430;1001
5;434;1
5;437;1
5;439;2222
5;440;10
5;441;1
5;450;1
5;461;2120
5;465;1002
5;478;1
5;496;2120
5;497;2121
5;498;1122
5;499;2122
5;500;1012
5;501;100
5;502;100
5;503;2221
5;505;1
5;511;1101
5;513;10
5;516;1010
5;520;1000
5;524;1010
5;531;1
5;533;2211
5;549;1
5;553;1001
5;559;1
5;561;10
5;568;1
5;590;1
5;592;1001
5;593;2222
5;604;2
5;605;100
